q,lat,lng,region_res5,region_res4
costco,41.745328,-88.203357,85266697fffffff,8426669ffffffff
costco,34.75751,-92.451867,85265b4bfffffff,84265b5ffffffff
costco,34.137557,-117.442672,8529a03bfffffff,8429a03ffffffff
costco,33.850639,-118.135641,8529a56bfffffff,8429a57ffffffff
costco,38.643548,-77.295374,852aaaa7fffffff,842aaabffffffff
costco,38.849971,-77.371782,852aaab3fffffff,842aaabffffffff
costco,41.909268,-88.343236,8527592bfffffff,8427593ffffffff
costco,44.271215,-88.477562,85275cb3fffffff,84275cbffffffff
costco,30.648361,-88.118825,85445003fffffff,8444501ffffffff
costco,39.643831,-105.008148,85268cc3fffffff,84268cdffffffff
costco,26.192182,-98.202187,8548b387fffffff,8448b39ffffffff
costco,34.070544,-81.139155,8544dc4bfffffff,8444dc5ffffffff
costco,36.292947,-119.306402,8529a847fffffff,8429a85ffffffff
costco,38.892709,-104.718205,85268c63fffffff,84268c7ffffffff
costco,32.812013,-115.572463,85485ba7fffffff,84485bbffffffff
costco,37.642454,-122.400634,85283093fffffff,8428309ffffffff
costco,47.547613,-122.050506,8528d55bfffffff,8428d55ffffffff
costco,64.853075,-147.706709,850d5a93fffffff,840d5a9ffffffff
costco,38.689481,-121.297166,852832bbfffffff,842832bffffffff
costco,39.779876,-104.795173,85268cd3fffffff,84268cdffffffff
costco,40.807028,-73.285716,852a10a3fffffff,842a10bffffffff
costco,42.70663,-83.295923,85274daffffffff,84274dbffffffff
costco,39.889768,-75.531831,852aacbbfffffff,842aacbffffffff
costco,40.520554,-104.98892,8526aa53fffffff,8426aa5ffffffff
costco,38.989092,-84.646112,852a9373fffffff,842a937ffffffff
costco,38.087262,-122.550638,852830bbfffffff,842830bffffffff
costco,33.293473,-111.898873,8548ebb7fffffff,8448ebbffffffff
costco,43.114712,-77.615108,852b9923fffffff,842b993ffffffff
costco,33.803634,-116.389574,8529a623fffffff,8429a63ffffffff
costco,33.467334,-112.274438,8548e96ffffffff,8448e97ffffffff
costco,29.432011,-98.713736,85489c17fffffff,84489c1ffffffff
costco,34.109123,-117.192461,8529a00ffffffff,8429a01ffffffff
costco,37.303162,-120.497494,852836d3fffffff,842836dffffffff
costco,29.585453,-95.643459,85446ca3fffffff,84446cbffffffff
