query,region_res5,region_res4,label,total_orders,source,share_near,share_far,dist_segment
marcus theater,85260a13fffffff,84260a1ffffffff,3,50,REAL,0,1,TRAVEL_LIKE
address stamp,852a137bfffffff,842a137ffffffff,3,50,REAL,0,0.9538461538461539,TRAVEL_LIKE
massage,85269627fffffff,8426963ffffffff,3,50,REAL,0.56923076923076921,0.2153846153846154,MIXED
chuckee cheese,852a100ffffffff,842a101ffffffff,3,50,REAL,0.061538461538461542,0.92307692307692313,TRAVEL_LIKE
laser,852a100ffffffff,842a101ffffffff,0,50,REAL,0.89393939393939392,0.07575757575757576,LOCAL
uptown jungle,85269633fffffff,8426963ffffffff,0,50,REAL,0.95454545454545459,0.045454545454545456,LOCAL
laser hair removal,8529a19bfffffff,8429a19ffffffff,0,50,REAL,0.90909090909090906,0.07575757575757576,LOCAL
oil change,8544a13bfffffff,8444a13ffffffff,0,50,REAL,0.803030303030303,0.15151515151515152,LOCAL
oil change,8529a457fffffff,8429a45ffffffff,0,50,REAL,0.803030303030303,0.07575757575757576,LOCAL
full synthetic oil change,852986bbfffffff,842986bffffffff,0,50,REAL,0.86363636363636365,0.12121212121212122,LOCAL
oil change,852a1013fffffff,842a101ffffffff,1,50,REAL,0.72727272727272729,0.045454545454545456,LOCAL
queen mary dark harbor,8529a563fffffff,8429a57ffffffff,1,50,REAL,0.62121212121212122,0.07575757575757576,MIXED
hobby airport parking,85446c17fffffff,84446c1ffffffff,1,50,REAL,0.56060606060606055,0.13636363636363635,MIXED
airport parking,8529a413fffffff,8429a41ffffffff,3,50,REAL,0.40909090909090912,0.27272727272727271,MIXED
things to do,85444643fffffff,8444465ffffffff,3,50,REAL,0.22727272727272727,0.74242424242424243,TRAVEL_LIKE
hotels,852986bbfffffff,842986bffffffff,3,50,REAL,0.13636363636363635,0.84848484848484851,TRAVEL_LIKE
batteries,852a1077fffffff,842a107ffffffff,3,50,REAL,0.030303030303030304,0.90909090909090906,TRAVEL_LIKE
oil change,852ab2cbfffffff,842ab2dffffffff,0,50,REAL,0.82089552238805974,0.13432835820895522,LOCAL
oil change,8529a57bfffffff,8429a57ffffffff,0,50,REAL,0.80597014925373134,0.014925373134328358,LOCAL
flyover chicago,85275927fffffff,8427593ffffffff,0,50,REAL,0.835820895522388,0.11940298507462686,LOCAL
