query,region_res5,region_res4,label,total_orders,source,share_near,share_far,dist_segment
manicure,852aa84ffffffff,842aa85ffffffff,0,50,REAL,1,0,LOCAL
dig dig,852a924ffffffff,842a925ffffffff,0,50,REAL,1,0,LOCAL
healthy spa,852aa6cbfffffff,842aa6dffffffff,0,50,REAL,1,0,LOCAL
facials,852af637fffffff,842af63ffffffff,0,50,REAL,0.8,0.2,LOCAL
full synthetic oil change,85268cc3fffffff,84268cdffffffff,0,50,REAL,1,0,LOCAL
massage,85283297fffffff,8428329ffffffff,0,50,REAL,1,0,LOCAL
paint sip,852a100ffffffff,842a101ffffffff,0,50,REAL,0.8,0.2,LOCAL
microdermabrasion,8529868ffffffff,8429869ffffffff,0,50,REAL,1,0,LOCAL
hair cut,85274997fffffff,8427499ffffffff,0,50,REAL,1,0,LOCAL
beer,8529b6d7fffffff,8429b6dffffffff,0,50,REAL,0.8,0,LOCAL
smog test,8529a0a3fffffff,8429a0bffffffff,0,50,REAL,1,0,LOCAL
downtown aquarium,85268cdbfffffff,84268cdffffffff,0,50,REAL,1,0,LOCAL
ipl photofacial,852664c3fffffff,842664dffffffff,0,50,REAL,0.8,0.2,LOCAL
keratin treatment,8544a103fffffff,8444a11ffffffff,0,50,REAL,1,0,LOCAL
midas oil change,85446c23fffffff,84446c3ffffffff,0,50,REAL,0.8,0,LOCAL
massage,852a104ffffffff,842a105ffffffff,0,50,REAL,1,0,LOCAL
restaurants,852664cffffffff,842664dffffffff,0,50,REAL,1,0,LOCAL
golf,8528d543fffffff,8428d55ffffffff,0,50,REAL,0.8,0,LOCAL
bliss reflexology,852aa843fffffff,842aa85ffffffff,0,50,REAL,1,0,LOCAL
bishop,85464b97fffffff,84464b9ffffffff,0,50,REAL,0.8,0.2,LOCAL
kc holiday boutique,85265673fffffff,8426567ffffffff,0,50,REAL,1,0,LOCAL
mels,8529a1d7fffffff,8429a1dffffffff,0,50,REAL,0.8,0.2,LOCAL
ultherapy,8529a1d7fffffff,8429a1dffffffff,0,50,REAL,0.8,0.2,LOCAL
parking garage,852664c3fffffff,842664dffffffff,0,50,REAL,1,0,LOCAL
hydrafacial,852a3067fffffff,842a307ffffffff,0,50,REAL,0.8,0.2,LOCAL
manicure,85264627fffffff,8426463ffffffff,0,50,REAL,1,0,LOCAL
ngm spa,852a100ffffffff,842a101ffffffff,0,50,REAL,1,0,LOCAL
head massage,8528d54ffffffff,8428d55ffffffff,0,50,REAL,1,0,LOCAL
haircut,852a106bfffffff,842a107ffffffff,0,50,REAL,0.8,0,LOCAL
couples massage,852664cffffffff,842664dffffffff,0,50,REAL,0.8,0.2,LOCAL
sky zone westmont,85275927fffffff,8427593ffffffff,0,50,REAL,1,0,LOCAL
grand tech auto,852ab2cbfffffff,842ab2dffffffff,0,50,REAL,1,0,LOCAL
window tint,8529a457fffffff,8429a45ffffffff,0,50,REAL,1,0,LOCAL
jiffy lube oil change,852661b7fffffff,842661bffffffff,0,50,REAL,1,0,LOCAL
lymphatic drainage,8526c877fffffff,8426c87ffffffff,0,50,REAL,1,0,LOCAL
swanboat,8544a907fffffff,8444a91ffffffff,0,50,REAL,0.8,0.2,LOCAL
rice museum,8528f007fffffff,8428f01ffffffff,0,50,REAL,1,0,LOCAL
hardwire,852aacbbfffffff,842aacbffffffff,0,50,REAL,1,0,LOCAL
teeth whitening,852a1057fffffff,842a105ffffffff,0,50,REAL,1,0,LOCAL
laserbounce,852a100ffffffff,842a101ffffffff,0,50,REAL,1,0,LOCAL
colonic hydrotherapy,852a1073fffffff,842a107ffffffff,0,50,REAL,1,0,LOCAL
rf microneedling,852a100ffffffff,842a101ffffffff,0,50,REAL,0.8,0,LOCAL
crepe,852ab2c3fffffff,842ab2dffffffff,0,50,REAL,1,0,LOCAL
mini golf,852a3397fffffff,842a339ffffffff,0,50,REAL,1,0,LOCAL
rose spa,8529a18bfffffff,8429a19ffffffff,0,50,REAL,1,0,LOCAL
tribe,8544131bfffffff,8444131ffffffff,0,50,REAL,1,0,LOCAL
urban air,85446c37fffffff,84446c3ffffffff,0,50,REAL,1,0,LOCAL
nails,852aa843fffffff,842aa85ffffffff,0,50,REAL,1,0,LOCAL
facial,85446caffffffff,84446cbffffffff,0,50,REAL,1,0,LOCAL
full synthetic oil change,8526cbc3fffffff,8426cbdffffffff,0,50,REAL,1,0,LOCAL
facial massage,852a13d3fffffff,842a13dffffffff,0,50,REAL,0.8,0,LOCAL
haute,8526c877fffffff,8426c87ffffffff,0,50,REAL,1,0,LOCAL
womens haircut,852aa84ffffffff,842aa85ffffffff,0,50,REAL,0.8,0.2,LOCAL
microdermabrasion facial,852a100ffffffff,842a101ffffffff,0,50,REAL,1,0,LOCAL
foot spa,852664c3fffffff,842664dffffffff,0,50,REAL,1,0,LOCAL
facials,8528ded7fffffff,8428dedffffffff,0,50,REAL,1,0,LOCAL
hot yoga,85283097fffffff,8428309ffffffff,0,50,REAL,0.8,0.2,LOCAL
laser hair removal,8529a18bfffffff,8429a19ffffffff,0,50,REAL,1,0,LOCAL
massage heights,85489e37fffffff,84489e3ffffffff,0,50,REAL,1,0,LOCAL
lip flip,852a100bfffffff,842a101ffffffff,0,50,REAL,0.8,0.2,LOCAL
fatburger,8529a19bfffffff,8429a19ffffffff,0,50,REAL,1,0,LOCAL
skin tightening,852a100ffffffff,842a101ffffffff,0,50,REAL,1,0,LOCAL
brazilian,852664c3fffffff,842664dffffffff,0,50,REAL,1,0,LOCAL
nails,852a339bfffffff,842a339ffffffff,0,50,REAL,0.8,0,LOCAL
window tint,8529a56ffffffff,8429a57ffffffff,0,50,REAL,0.8,0.2,LOCAL
blossom brows,852a100bfffffff,842a101ffffffff,0,50,REAL,1,0,LOCAL
hand and stone,8527526bfffffff,8427527ffffffff,0,50,REAL,1,0,LOCAL
fall foliage cruise,852a1317fffffff,842a131ffffffff,0,50,REAL,0.8,0,LOCAL
face and body,85264627fffffff,8426463ffffffff,0,50,REAL,0.8,0.2,LOCAL
electrolysis,8528d5cbfffffff,8428d5dffffffff,0,50,REAL,0.8,0,LOCAL
foot massage,852a1007fffffff,842a101ffffffff,0,50,REAL,1,0,LOCAL
brazilian wax,85489853fffffff,8448985ffffffff,0,50,REAL,0.8,0,LOCAL
ever fitness,852a3067fffffff,842a307ffffffff,0,50,REAL,1,0,LOCAL
brazilian wax,852a8967fffffff,842a897ffffffff,0,50,REAL,1,0,LOCAL
wax,852696abfffffff,842696bffffffff,0,50,REAL,0.8,0,LOCAL
massage and facial,8548eba3fffffff,8448ebbffffffff,0,50,REAL,1,0,LOCAL
haircut,85274d7bfffffff,84274d7ffffffff,0,50,REAL,1,0,LOCAL
lymphatic massage,8548985bfffffff,8448985ffffffff,0,50,REAL,1,0,LOCAL
pilates,8544a18ffffffff,8444a19ffffffff,0,50,REAL,0.8,0.2,LOCAL
highlights,85268cdbfffffff,84268cdffffffff,0,50,REAL,1,0,LOCAL
gel nails,852a100bfffffff,842a101ffffffff,0,50,REAL,1,0,LOCAL
mani pedi,8528d543fffffff,8428d55ffffffff,0,50,REAL,0.8,0,LOCAL
facial massage,8529a033fffffff,8429a03ffffffff,0,50,REAL,1,0,LOCAL
lol kids club,852986b3fffffff,842986bffffffff,0,50,REAL,1,0,LOCAL
couples spa package,8544a13bfffffff,8444a13ffffffff,0,50,REAL,1,0,LOCAL
state inspection,8526c82bfffffff,8426c83ffffffff,0,50,REAL,0.8,0.2,LOCAL
ms young,852a100ffffffff,842a101ffffffff,0,50,REAL,1,0,LOCAL
spa,8529a567fffffff,8429a57ffffffff,0,50,REAL,1,0,LOCAL
backfit,8529b6d3fffffff,8429b6dffffffff,0,50,REAL,1,0,LOCAL
escape room,85283463fffffff,8428347ffffffff,0,50,REAL,0.8,0.2,LOCAL
deep cleansing facial,852a1073fffffff,842a107ffffffff,0,50,REAL,1,0,LOCAL
weight loss injections,8529a56bfffffff,8429a57ffffffff,0,50,REAL,1,0,LOCAL
erase soa,852a100ffffffff,842a101ffffffff,0,50,REAL,1,0,LOCAL
gel pedicure,852a100ffffffff,842a101ffffffff,0,50,REAL,1,0,LOCAL
spavia,8544c133fffffff,8444c13ffffffff,0,50,REAL,1,0,LOCAL
eyelash extensions,8528f017fffffff,8428f01ffffffff,0,50,REAL,0.8,0,LOCAL
wii auto,8548e96ffffffff,8448e97ffffffff,0,50,REAL,1,0,LOCAL
aroma clay,85283473fffffff,8428347ffffffff,0,50,REAL,0.8,0,LOCAL
haircut,8526c83bfffffff,8426c83ffffffff,0,50,REAL,0.8,0,LOCAL
massage and facial,852664c3fffffff,842664dffffffff,0,50,REAL,0.8,0.2,LOCAL
car detailing,8529a0a7fffffff,8429a0bffffffff,0,50,REAL,1,0,LOCAL
massage heights,85446ca3fffffff,84446cbffffffff,0,50,REAL,1,0,LOCAL
brazilian wax,852986b3fffffff,842986bffffffff,0,50,REAL,0.8,0.2,LOCAL
canvas and clay,85441e67fffffff,84441e7ffffffff,0,50,REAL,0.8,0.2,LOCAL
car detail,852a3067fffffff,842a307ffffffff,0,50,REAL,1,0,LOCAL
facials,85264627fffffff,8426463ffffffff,0,50,REAL,0.8,0,LOCAL
things to do,8544a133fffffff,8444a13ffffffff,0,50,REAL,0.8,0.2,LOCAL
food,8529a56ffffffff,8429a57ffffffff,0,50,REAL,1,0,LOCAL
brazilian wax,8544a133fffffff,8444a13ffffffff,0,50,REAL,1,0,LOCAL
golf,852a1077fffffff,842a107ffffffff,0,50,REAL,1,0,LOCAL
colonic hydrotherapy,852aa847fffffff,842aa85ffffffff,0,50,REAL,1,0,LOCAL
altitude,85445003fffffff,8444501ffffffff,0,50,REAL,0.8,0.2,LOCAL
trampoline,852aa8d3fffffff,842aa8dffffffff,0,50,REAL,1,0,LOCAL
omay spa,852a101bfffffff,842a101ffffffff,0,50,REAL,1,0,LOCAL
halloween lights,8526963bfffffff,8426963ffffffff,0,50,REAL,1,0,LOCAL
lymphatic drainage massage,852a1007fffffff,842a101ffffffff,0,50,REAL,1,0,LOCAL
lashes,852a1033fffffff,842a103ffffffff,0,50,REAL,1,0,LOCAL
peach,8548e853fffffff,8448e85ffffffff,0,50,REAL,1,0,LOCAL
lymphatic massage,852a1073fffffff,842a107ffffffff,0,50,REAL,0.8,0.2,LOCAL
say cheez,8529a19bfffffff,8429a19ffffffff,0,50,REAL,1,0,LOCAL
gloria skin care,8529a1d7fffffff,8429a1dffffffff,0,50,REAL,1,0,LOCAL
massage tao,852681a7fffffff,842681bffffffff,0,50,REAL,0.8,0.2,LOCAL
yangs,852aaab3fffffff,842aaabffffffff,0,50,REAL,1,0,LOCAL
laser facial,8526c80ffffffff,8426c81ffffffff,0,50,REAL,0.8,0,LOCAL
discovery flight,8544ae83fffffff,8444ae9ffffffff,0,50,REAL,0.8,0,LOCAL
arcade,852ab2d7fffffff,842ab2dffffffff,0,50,REAL,1,0,LOCAL
spa,852832b3fffffff,842832bffffffff,0,50,REAL,0.8,0.2,LOCAL
couple massage,8529a41bfffffff,8429a41ffffffff,0,50,REAL,1,0,LOCAL
chicago mosaic school,852664dbfffffff,842664dffffffff,0,50,REAL,0.8,0.2,LOCAL
emission,85269607fffffff,8426961ffffffff,0,50,REAL,1,0,LOCAL
bikini wax,85268cdbfffffff,84268cdffffffff,0,50,REAL,1,0,LOCAL
the who,85283477fffffff,8428347ffffffff,0,50,REAL,0.8,0,LOCAL
sky zone,85275263fffffff,8427527ffffffff,0,50,REAL,1,0,LOCAL
massage,8526de7bfffffff,8426de7ffffffff,0,50,REAL,0.8,0.2,LOCAL
acupuncture,8544a18ffffffff,8444a19ffffffff,0,50,REAL,1,0,LOCAL
gel pedicure,852ab387fffffff,842ab39ffffffff,0,50,REAL,0.8,0,LOCAL
spray tan,852a100ffffffff,842a101ffffffff,0,50,REAL,0.8,0.2,LOCAL
cryotherapy,8526c867fffffff,8426c87ffffffff,0,50,REAL,1,0,LOCAL
chemical peel,852986b3fffffff,842986bffffffff,0,50,REAL,1,0,LOCAL
food drink,852986bbfffffff,842986bffffffff,0,50,REAL,0.8,0.2,LOCAL
simplicity,85298687fffffff,8429869ffffffff,0,50,REAL,1,0,LOCAL
ice realm,8529a0b7fffffff,8429a0bffffffff,0,50,REAL,0.8,0,LOCAL
facials,852b9bc3fffffff,842b9bdffffffff,0,50,REAL,1,0,LOCAL
archery,8544d84ffffffff,8444d85ffffffff,0,50,REAL,1,0,LOCAL
dysport,8529a1d7fffffff,8429a1dffffffff,0,50,REAL,0.8,0.2,LOCAL
facial,8528de17fffffff,8428de1ffffffff,0,50,REAL,1,0,LOCAL
lymphatic massage,852a3077fffffff,842a307ffffffff,0,50,REAL,0.8,0,LOCAL
new seasons,85264627fffffff,8426463ffffffff,0,50,REAL,1,0,LOCAL
laser hair removal,8526462ffffffff,8426463ffffffff,0,50,REAL,1,0,LOCAL
lazer tag,852a1007fffffff,842a101ffffffff,0,50,REAL,1,0,LOCAL
charming,852a1007fffffff,842a101ffffffff,0,50,REAL,1,0,LOCAL
nails r us,8529868ffffffff,8429869ffffffff,0,50,REAL,0.8,0.2,LOCAL
relax and wax,8526c863fffffff,8426c87ffffffff,0,50,REAL,1,0,LOCAL
jumping place,8529b6d7fffffff,8429b6dffffffff,0,50,REAL,0.8,0.2,LOCAL
smog test,852986bbfffffff,842986bffffffff,0,50,REAL,0.8,0.2,LOCAL
axe throwing,85283623fffffff,8428363ffffffff,0,50,REAL,1,0,LOCAL
pumpkin patch,852681a7fffffff,842681bffffffff,0,50,REAL,0.8,0,LOCAL
nails,85275d77fffffff,84275d7ffffffff,0,50,REAL,1,0,LOCAL
cozy wellness beauty spa,852a1077fffffff,842a107ffffffff,0,50,REAL,1,0,LOCAL
spa on pen,85265673fffffff,8426567ffffffff,0,50,REAL,1,0,LOCAL
bodi,8548eba7fffffff,8448ebbffffffff,0,50,REAL,1,0,LOCAL
microneedling,8528de8bfffffff,8428de9ffffffff,0,50,REAL,0.8,0.2,LOCAL
iris lash,852a100ffffffff,842a101ffffffff,0,50,REAL,0.8,0,LOCAL
haircut,852a1077fffffff,842a107ffffffff,0,50,REAL,1,0,LOCAL
corner chinese,852a1073fffffff,842a107ffffffff,0,50,REAL,1,0,LOCAL
japanese head spa,852a100ffffffff,842a101ffffffff,0,50,REAL,0.8,0.2,LOCAL
chemical peel,85262cd3fffffff,84262cdffffffff,0,50,REAL,0.8,0,LOCAL
opus,852a1047fffffff,842a105ffffffff,0,50,REAL,1,0,LOCAL
brainy actz,8529a403fffffff,8429a41ffffffff,0,50,REAL,1,0,LOCAL
smog check,8529aeb3fffffff,8429aebffffffff,0,50,REAL,1,0,LOCAL
brazilian wax,85288423fffffff,8428843ffffffff,0,50,REAL,0.8,0.2,LOCAL
motor city float,852ab2c3fffffff,842ab2dffffffff,0,50,REAL,1,0,LOCAL
wax,85269633fffffff,8426963ffffffff,0,50,REAL,1,0,LOCAL
sauna,852a306ffffffff,842a307ffffffff,0,50,REAL,1,0,LOCAL
food,8526c867fffffff,8426c87ffffffff,0,50,REAL,1,0,LOCAL
scalp treatment,8529a19bfffffff,8429a19ffffffff,0,50,REAL,1,0,LOCAL
couple massage,85464b97fffffff,84464b9ffffffff,0,50,REAL,1,0,LOCAL
flying lesson,852aa85bfffffff,842aa85ffffffff,0,50,REAL,0.8,0,LOCAL
forex ninja park,852a100ffffffff,842a101ffffffff,0,50,REAL,1,0,LOCAL
couple massage,852aa87bfffffff,842aa87ffffffff,0,50,REAL,0.8,0,LOCAL
dysport,8529a54ffffffff,8429a55ffffffff,0,50,REAL,0.8,0.2,LOCAL
nails,852ab387fffffff,842ab39ffffffff,0,50,REAL,1,0,LOCAL
statue of liberty express tour,852a1073fffffff,842a107ffffffff,0,50,REAL,0.8,0.2,LOCAL
microneedling,852b9bd3fffffff,842b9bdffffffff,0,50,REAL,0.8,0.2,LOCAL
float,852ab2c3fffffff,842ab2dffffffff,0,50,REAL,1,0,LOCAL
ginko day spa,852a1007fffffff,842a101ffffffff,0,50,REAL,1,0,LOCAL
urban air trampoline park,8548ebb7fffffff,8448ebbffffffff,0,50,REAL,0.8,0,LOCAL
brazilian blowout,8529a54ffffffff,8429a55ffffffff,0,50,REAL,1,0,LOCAL
sev irvine,8529a0b3fffffff,8429a0bffffffff,0,50,REAL,1,0,LOCAL
spa,8529868ffffffff,8429869ffffffff,0,50,REAL,1,0,LOCAL
sis spa,8529a0b7fffffff,8429a0bffffffff,0,50,REAL,1,0,LOCAL
mikes tint,8529a0b7fffffff,8429a0bffffffff,0,50,REAL,1,0,LOCAL
dca parking,852aa87bfffffff,842aa87ffffffff,0,50,REAL,0.8,0,LOCAL
baja fresh,852aa85bfffffff,842aa85ffffffff,0,50,REAL,1,0,LOCAL
kids,852a1073fffffff,842a107ffffffff,0,50,REAL,0.8,0.2,LOCAL
lash lift,8544a113fffffff,8444a11ffffffff,0,50,REAL,0.8,0,LOCAL
concert,8526cb93fffffff,8426cb9ffffffff,0,50,REAL,1,0,LOCAL
kusshi sushi,852aa84ffffffff,842aa85ffffffff,0,50,REAL,1,0,LOCAL
hot stone massage,852a3067fffffff,842a307ffffffff,0,50,REAL,1,0,LOCAL
nail salon,8529a0a7fffffff,8429a0bffffffff,0,50,REAL,1,0,LOCAL
skin tightening,852986bbfffffff,842986bffffffff,0,50,REAL,0.8,0.2,LOCAL
spa scottsdale,8529b6dbfffffff,8429b6dffffffff,0,50,REAL,1,0,LOCAL
full synthetic oil change,85298687fffffff,8429869ffffffff,0,50,REAL,1,0,LOCAL
deep tissue massage,85283473fffffff,8428347ffffffff,0,50,REAL,1,0,LOCAL
full body laser,852a100ffffffff,842a101ffffffff,0,50,REAL,0.8,0.2,LOCAL
brazilian wax,852aac33fffffff,842aac3ffffffff,0,50,REAL,0.8,0,LOCAL
sushi spot,8528d0b7fffffff,8428d0bffffffff,0,50,REAL,1,0,LOCAL
laser,8528340bfffffff,8428341ffffffff,0,50,REAL,1,0,LOCAL
lash lift,852a3067fffffff,842a307ffffffff,0,50,REAL,1,0,LOCAL
accupuncture,85446cabfffffff,84446cbffffffff,0,50,REAL,1,0,LOCAL
car detailing,852b9bc3fffffff,842b9bdffffffff,0,50,REAL,1,0,LOCAL
facial,8544c12ffffffff,8444c13ffffffff,0,50,REAL,1,0,LOCAL
full body massage,852a1077fffffff,842a107ffffffff,0,50,REAL,1,0,LOCAL
scalp treatment,852664cffffffff,842664dffffffff,0,50,REAL,0.8,0.2,LOCAL
dermaplaning facial,852664c3fffffff,842664dffffffff,0,50,REAL,1,0,LOCAL
deep tissue,8526cb93fffffff,8426cb9ffffffff,0,50,REAL,1,0,LOCAL
laser hair removal,8544ac4bfffffff,8444ac5ffffffff,0,50,REAL,0.8,0,LOCAL
touch and glow,8528d55bfffffff,8428d55ffffffff,0,50,REAL,1,0,LOCAL
escape game,852a100ffffffff,842a101ffffffff,0,50,REAL,1,0,LOCAL
dermanova,8544a113fffffff,8444a11ffffffff,0,50,REAL,0.8,0.2,LOCAL
haircut,85264627fffffff,8426463ffffffff,0,50,REAL,0.8,0.2,LOCAL
thrill factory,85275803fffffff,8427581ffffffff,0,50,REAL,1,0,LOCAL
acne facial,8544a133fffffff,8444a13ffffffff,0,50,REAL,0.8,0.2,LOCAL
chemical peel,8526cbd7fffffff,8426cbdffffffff,0,50,REAL,1,0,LOCAL
laser,852b9bc7fffffff,842b9bdffffffff,0,50,REAL,1,0,LOCAL
briar,8529a1d3fffffff,8429a1dffffffff,0,50,REAL,0.8,0,LOCAL
duct cleaning,852b9bd7fffffff,842b9bdffffffff,0,50,REAL,0.8,0,LOCAL
brazilian wax,85283097fffffff,8428309ffffffff,0,50,REAL,1,0,LOCAL
hair color,8548eba3fffffff,8448ebbffffffff,0,50,REAL,0.8,0.2,LOCAL
bodysense,8544a18ffffffff,8444a19ffffffff,0,50,REAL,0.8,0,LOCAL
eyelash extensions,852af637fffffff,842af63ffffffff,0,50,REAL,1,0,LOCAL
museums,8544a117fffffff,8444a11ffffffff,0,50,REAL,1,0,LOCAL
facial,852a1047fffffff,842a105ffffffff,0,50,REAL,1,0,LOCAL
botox,8526c83bfffffff,8426c83ffffffff,0,50,REAL,1,0,LOCAL
eyelash extensions,85446ca7fffffff,84446cbffffffff,0,50,REAL,1,0,LOCAL
surfing lessons,85464b97fffffff,84464b9ffffffff,0,50,REAL,0.8,0.2,LOCAL
microblading,852986bbfffffff,842986bffffffff,0,50,REAL,1,0,LOCAL
haircut,852a1083fffffff,842a109ffffffff,0,50,REAL,1,0,LOCAL
laser hair removal,8544a1bbfffffff,8444a1bffffffff,0,50,REAL,1,0,LOCAL
horrorland,8544a113fffffff,8444a11ffffffff,0,50,REAL,1,0,LOCAL
facials,8544a18ffffffff,8444a19ffffffff,0,50,REAL,1,0,LOCAL
colonic hydrotherapy,852a100ffffffff,842a101ffffffff,0,50,REAL,1,0,LOCAL
yoga,8529a087fffffff,8429a09ffffffff,0,50,REAL,0.8,0.2,LOCAL
zen massage,8529a017fffffff,8429a01ffffffff,0,50,REAL,1,0,LOCAL
laser hair,852a134ffffffff,842a135ffffffff,0,50,REAL,0.8,0.2,LOCAL
lymphatic drainage,852a306ffffffff,842a307ffffffff,0,50,REAL,1,0,LOCAL
head massage,852986bbfffffff,842986bffffffff,0,50,REAL,1,0,LOCAL
oil change synthetic,85489e2ffffffff,84489e3ffffffff,0,50,REAL,0.8,0.2,LOCAL
doorway massage,8527526bfffffff,8427527ffffffff,0,50,REAL,1,0,LOCAL
nails,8544a18ffffffff,8444a19ffffffff,0,50,REAL,0.8,0.2,LOCAL
eyelash extensions,85489e27fffffff,84489e3ffffffff,0,50,REAL,0.8,0.2,LOCAL
wine tasting,8529a56bfffffff,8429a57ffffffff,0,50,REAL,0.8,0,LOCAL
massage and facial,8529b6d3fffffff,8429b6dffffffff,0,50,REAL,0.8,0,LOCAL
bikram yoga,85283473fffffff,8428347ffffffff,0,50,REAL,1,0,LOCAL
couples massage,852a135bfffffff,842a135ffffffff,0,50,REAL,1,0,LOCAL
candy land,8529a0b7fffffff,8429a0bffffffff,0,50,REAL,1,0,LOCAL
fly high boise,8528843bfffffff,8428843ffffffff,0,50,REAL,1,0,LOCAL
ziges,8526640bfffffff,8426641ffffffff,0,50,REAL,0.8,0,LOCAL
bleu,852a134ffffffff,842a135ffffffff,0,50,REAL,0.8,0.2,LOCAL
facial,852664cffffffff,842664dffffffff,0,50,REAL,0.8,0.2,LOCAL
chiropractor,852664cbfffffff,842664dffffffff,0,50,REAL,1,0,LOCAL
hydrofacial,85489e37fffffff,84489e3ffffffff,0,50,REAL,0.8,0,LOCAL
soothe and stretch bodyworks llc,852aa847fffffff,842aa85ffffffff,0,50,REAL,1,0,LOCAL
phentermine,8529a403fffffff,8429a41ffffffff,0,50,REAL,0.8,0,LOCAL
splatter paint,85268cdbfffffff,84268cdffffffff,0,50,REAL,1,0,LOCAL
massage,85274da7fffffff,84274dbffffffff,0,50,REAL,1,0,LOCAL
lash lift and tint,852b9bc7fffffff,842b9bdffffffff,0,50,REAL,1,0,LOCAL
chris angel,852986bbfffffff,842986bffffffff,0,50,REAL,0.8,0.2,LOCAL
womens haircut,85283473fffffff,8428347ffffffff,0,50,REAL,1,0,LOCAL
hydrafacial,852a104ffffffff,842a105ffffffff,0,50,REAL,0.8,0.2,LOCAL
gocar,85283083fffffff,8428309ffffffff,0,50,REAL,0.8,0.2,LOCAL
lymphatic massage,852aa847fffffff,842aa85ffffffff,0,50,REAL,0.8,0.2,LOCAL
laser hair removal,8544c12bfffffff,8444c13ffffffff,0,50,REAL,0.8,0,LOCAL
yoga,852a1057fffffff,842a105ffffffff,0,50,REAL,1,0,LOCAL
lash extensions,852a100bfffffff,842a101ffffffff,0,50,REAL,1,0,LOCAL
window tinting,8548eba3fffffff,8448ebbffffffff,0,50,REAL,1,0,LOCAL
car wash,852664cbfffffff,842664dffffffff,0,50,REAL,1,0,LOCAL
cleo,852621b7fffffff,842621bffffffff,0,50,REAL,1,0,LOCAL
brazilian wax,8529a567fffffff,8429a57ffffffff,0,50,REAL,1,0,LOCAL
eden spa,8544a107fffffff,8444a11ffffffff,0,50,REAL,1,0,LOCAL
couples massage,852a302bfffffff,842a303ffffffff,0,50,REAL,1,0,LOCAL
empire,852a100ffffffff,842a101ffffffff,0,50,REAL,0.8,0.2,LOCAL
brazilian wax,852a33dbfffffff,842a33dffffffff,0,50,REAL,1,0,LOCAL
beauty spa,852a100ffffffff,842a101ffffffff,0,50,REAL,1,0,LOCAL
sugaring,8529868ffffffff,8429869ffffffff,0,50,REAL,0.8,0.2,LOCAL
smog,8529a1dbfffffff,8429a1dffffffff,0,50,REAL,1,0,LOCAL
dirt busters,85283217fffffff,8428321ffffffff,0,50,REAL,0.8,0.2,LOCAL
ginko,852a1007fffffff,842a101ffffffff,0,50,REAL,1,0,LOCAL
hibachi,852a101bfffffff,842a101ffffffff,0,50,REAL,1,0,LOCAL
cryotherapy,85489c03fffffff,84489c1ffffffff,0,50,REAL,0.8,0.2,LOCAL
little beakers,85269627fffffff,8426963ffffffff,0,50,REAL,0.8,0,LOCAL
klaw,8529a1d3fffffff,8429a1dffffffff,0,50,REAL,0.8,0,LOCAL
jump,8544dab7fffffff,8444dabffffffff,0,50,REAL,1,0,LOCAL
colon hydrotherapy,8528309bfffffff,8428309ffffffff,0,50,REAL,1,0,LOCAL
thai massage,852aa84ffffffff,842aa85ffffffff,0,50,REAL,1,0,LOCAL
hair color,852aa84ffffffff,842aa85ffffffff,0,50,REAL,1,0,LOCAL
manicure,8529a403fffffff,8429a41ffffffff,0,50,REAL,1,0,LOCAL
eyelash,852a1007fffffff,842a101ffffffff,0,50,REAL,1,0,LOCAL
mani pedi,8544130ffffffff,8444131ffffffff,0,50,REAL,0.8,0.2,LOCAL
jump,8548eba3fffffff,8448ebbffffffff,0,50,REAL,1,0,LOCAL
iv hydration,8529a41bfffffff,8429a41ffffffff,0,50,REAL,1,0,LOCAL
spa,852a1007fffffff,842a101ffffffff,0,50,REAL,1,0,LOCAL
lash lift,852664c3fffffff,842664dffffffff,0,50,REAL,1,0,LOCAL
spacegolf,85266443fffffff,8426645ffffffff,0,50,REAL,1,0,LOCAL
altitude franklin ma,852a338bfffffff,842a339ffffffff,0,50,REAL,1,0,LOCAL
hot yoga,85264d13fffffff,84264d1ffffffff,0,50,REAL,0.8,0.2,LOCAL
fat angelos,852a8463fffffff,842a847ffffffff,0,50,REAL,1,0,LOCAL
nails,8528f00ffffffff,8428f01ffffffff,0,50,REAL,1,0,LOCAL
massage,85441e0bfffffff,84441e1ffffffff,0,50,REAL,0.8,0,LOCAL
teeth whitening,8544a8c3fffffff,8444a8dffffffff,0,50,REAL,1,0,LOCAL
colon cleanse,8529a54ffffffff,8429a55ffffffff,0,50,REAL,0.8,0,LOCAL
escapology,85268cdbfffffff,84268cdffffffff,0,50,REAL,1,0,LOCAL
xeomin,8529a1d7fffffff,8429a1dffffffff,0,50,REAL,0.8,0,LOCAL
couples massage and facial,852664c3fffffff,842664dffffffff,0,50,REAL,1,0,LOCAL
head massage,85269633fffffff,8426963ffffffff,0,50,REAL,1,0,LOCAL
nucell,85283473fffffff,8428347ffffffff,0,50,REAL,1,0,LOCAL
lashing out ink academy,85446caffffffff,84446cbffffffff,0,50,REAL,1,0,LOCAL
calypso,85441a97fffffff,84441a9ffffffff,0,50,REAL,1,0,LOCAL
vavoline,8548d887fffffff,8448d89ffffffff,0,50,REAL,0.8,0.2,LOCAL
zap zone xl,852748b7fffffff,842748bffffffff,0,50,REAL,0.8,0,LOCAL
blowout,852986bbfffffff,842986bffffffff,0,50,REAL,1,0,LOCAL
kids,85283097fffffff,8428309ffffffff,0,50,REAL,1,0,LOCAL
