query;clicks;conv_rate_fci;fci_conv;fci_ogp;gp_user_fci;gppi_fci;impressions;lci_conv;lci_ogp;search_ctr;search_counts;unique_users
venus legacy;187;0.006;2;82.170600891;0.760838897;0.041626444;1974;2;82.170600891;0.5881;318;108
venus freeze;7;0.0;0;0.0;0.0;0.0;372;0;0.0;0.1228;57;16
venus;66;0.0;0;0.0;0.0;0.0;1049;0;0.0;0.2588;255;132
venue;26;0.0;0;0.0;0.0;0.0;646;0;0.0;0.1926;135;46
ventura;14;0.0;0;0.0;0.0;0.0;531;0;0.0;0.1148;122;24
vent cleaning;114;0.012;4;145.941299438;1.18651463;0.100096913;1458;5;165.023199081;0.3444;331;123
vent and air duct cleaning;56;0.085;7;150.946901321;3.430611394;0.266220285;567;7;150.946901321;0.6829;82;44
vent;96;0.043;10;214.691500664;1.501339165;0.199157236;1078;10;214.691500664;0.4156;231;143
venetian;34;0.0;0;0.0;0.0;0.0;442;0;0.0;0.2576;132;65
veneers;153;0.002;1;40.479999542;0.235348835;0.024181601;1674;0;0.0;0.3408;449;172
veneer;32;0.0;0;0.0;0.0;0.0;432;0;0.0;0.3441;93;55
ven;3;0.0;0;0.0;0.0;0.0;515;0;0.0;0.0146;205;191
velvet head spa;4;0.0;0;0.0;0.0;0.0;449;0;0.0;0.0556;72;22
velocity;54;0.045;7;237.634199619;2.329747055;0.513248811;463;7;286.562197208;0.3439;157;102
velashape;85;0.006;1;61.164299011;0.926731803;0.086390253;708;1;61.164299011;0.538;158;66
vela shape;7;0.0;0;0.0;0.0;0.0;429;0;0.0;0.1094;64;15
veins;101;0.006;1;49.440601349;0.650534228;0.059710871;828;1;49.440601349;0.6121;165;76
vein treatment;27;0.0;0;0.0;0.0;0.0;471;0;0.0;0.45;60;21
vein removal;34;0.0;0;0.0;0.0;0.0;513;0;0.0;0.4658;73;23
vein;255;0.016;8;483.91069603;1.812399611;0.257262465;1881;6;386.686697006;0.5215;489;267
vehicle inspection;31;0.04;5;26.386900187;0.599702277;0.026466299;997;5;26.386900187;0.25;124;44
vegas shows;31;0.004;1;9.353099823;0.176473582;0.004902044;1908;1;9.353099823;0.1157;268;53
vegas hotels;118;0.003;1;11.636400223;0.204147372;0.007060922;1648;1;11.636400223;0.377;313;57
vegas hotel;117;0.004;1;9.511599541;0.135879993;0.005948468;1599;1;9.511599541;0.4643;252;70
vegas;959;0.001;3;13.002999544;0.013201015;0.000504422;25778;2;11.961899519;0.2556;3752;985
vegan food;8;0.0;0;0.0;0.0;0.0;553;0;0.0;0.0988;81;17
vegan;73;0.003;2;15.436000347;0.080816756;0.002978198;5183;2;15.436000347;0.0914;799;191
veg;9;0.0;0;0.0;0.0;0.0;444;0;0.0;0.0539;167;134
ve;15;0.0;0;0.0;0.0;0.0;2755;0;0.0;0.016;935;809
vbeam laser;29;0.0;0;0.0;0.0;0.0;574;0;0.0;0.3718;78;24
vbeam;42;0.005;1;82.999397278;0.741066047;0.110224963;753;0;0.0;0.1972;213;112
vavoline oil change;250;0.148;45;515.611806393;2.409400964;0.318672315;1618;42;480.121205807;0.8197;305;214
vavoline;99;0.04;9;93.909101486;0.83847412;0.123727406;759;9;93.909101486;0.4381;226;112
