text,value
Repellents,0.0
Resistance Bands,0.0
Restaurants,85.6698
Retail,19.2024
Rhinoplasty,0.0
Riding Toys,0.0
Rings,0.0
Roadside Assistance,0.0
Roasters & Rotisseries,0.0
Robots,0.0
Rock & Pop,50.6942
Rock Climbing,131.9232
Rockers & Ride-Ons,0.0
Rod & Reel Combos,0.0
Rolfing,0.0
Roller Skating,5.9827
Rollerballs & Purse Sprays,4.0002
Romantic Getaways,0.0
Roof Repair,0.0
Rope & Tug Toys,0.0
Rowers,0.0
Rubs, Ointments & Sprays,0.0
Rugs,0.0
Running Armbands,0.0
Running and Fun Runs,0.0
Safes,0.0
Safety & Survival,0.0
Sailing,0.0
Salon Packages,285.2105
Salons,82.66290000000001
Salt Caves,152.2408
Sandals,0.0
Sandboxes & Beach Toys,0.0
Sandwiches,0.0
Satchels,0.0
Saunas,223.7676
Scarves,0.0
Scooters, Skates & Skateboards,0.0
Screen Protectors,0.0
Scuba,0.0
Sculptures & Statues,0.0
Seafood Restaurants,42.9148
Seamless & No Show,0.0
Seasonal D�cor,0.0
Seasonal Outdoor,0.0
Seat Covers,2.2014
Seat Covers & Hammocks,0.0
Security,0.0
Security & Surveillance,0.0
Seeds,0.0
Self-Tanning,0.0
Selfie Sticks,0.0
Sensors & Alarms,0.0
Separates,0.0
Serveware,0.0
Sets,28.022
Setting Spray,0.0
Sewer Rodding,0.0
Sewing Machines,0.0
Sexual Health,10.5691
Sexual Supplements,0.0
Shampoo & Conditioners,31.9141
Shampoos & Conditioners,0.0
Shapewear,0.0
Shave,0.0
Shave Accessories,0.0
Shaving & Grooming,0.0
Sheds & Hideaways,0.0
Sheets,3.2499
Shiatsu Massage,0.0
Shift,0.0
Shirts & Tees,0.0
Shoe Accessories,0.0
Shoe Storage,0.0
Shoes,0.0
Shooting Range,32.189800000000005
Shorts,0.0
Shorts & Capris,0.0
Shower Curtains & Liners,0.0
Shower Gel & Body Wash,0.0
Shrugs,0.0
Siding Repair,0.0
Sightseeing & Tours,0.0
Ski Resorts,0.0
Skiing & Snowboarding,230.16299999999998
Skills & Hobbies,233.07850000000002
Skin Care,0.0
Skin Care Tools,0.0
Skirts,0.0
Skydiving,23.184
Sleep Masks,0.0
Sleep Wedges & Body Positioners,0.0
Sleeping Bags,0.0
Sleeping Pads,0.0
Sleepwear,0.0
Slimmers & Trainers,0.0
Slimming Belts,0.0
Slip Covers,4.5002
Slipper Socks,0.0
Slippers,4.3188
Slow Cookers,0.0
Small Animal Supplies,0.0
Small Appliances,0.0
Small Kitchen Appliances,0.0
Smartwatch Accessories,0.0
Smartwatches,0.0
Smoking Cessation,0.0
Smoothing,0.0
Snack Boxes,0.0
Sneakers,0.0
Snore Clips, Straps & Accessories,0.0
Snowblowers,0.0
Soaps,2.3998
Soccer,0.0
Socks,0.0
Socks & Crib Shoes,0.0
Socks & Hosiery,9.658999999999999
Socks & Tights,0.0
Sofas & Loveseats,0.0
Soft & Chewy Treats,0.0
Soils, Fertilizers & Mulches,0.0
Sound Machines,0.0
Soundbars,0.0
Spa Accessories,0.0
Spa Retreats,0.0
Spain,0.0
Spanish Restaurants,9.4529
Spas,688.6702
Speakers,0.0
Special Occasion,0.0
Specialty Appliances,0.0
Specialty Pillows,0.0
Spices, Seasoning & Salt,0.0
Spider Vein Treatment,76.6219
Spinning,0.0
Sponges & Applicators,0.0
Sport Earbuds,0.0
Sports,0.0
Sports & Outdoors,204.12
Sports Bars,0.0
Sports Bras,0.0
Sports Equipment,0.0
Sports Massage,58.6488
Sports Nutrition,0.0
Spray Tanning,18.7825
Sprays,0.0
Stackable,0.0
Stain & Odor Removers,0.0
Stand Up Paddleboarding,0.0
Stands & Mounts,0.0
Statement,0.0
Steakhouse,86.7308
Steamers,0.0
Steering Wheel Covers,0.0
Steps,0.0
Storage & Organization,0.0
Storage Accessories,0.0
Stove & Accessories,0.0
Stoves & Ranges,0.0
Strand,0.0
Strands,0.0
Strap Ons,0.0
Strapless & Backless,0.0
Strength Training,0.0
Stress & Anxiety,0.0
Stretch,0.0
Stretch Marks,0.0
Stringed Instruments,0.0
Strips,0.0
Strokers,15.1793
Stroller Accessories,0.0
Stud,41.8837
Stuffed Animals & Puppets,0.0
Styling,0.0
Styling Tool Sets,0.0
Stylus Pens,0.0
Subscription Boxes,0.0
Subscriptions,0.0
Suitcases,0.0
Suiting Accessories,0.0
Suits,8.4487
Suits & Sport Coats,0.0
Sunglasses,2.7187
Sunglasses & Eyewear,0.0
Sunscreen & After Sun Care,0.0
Sunshades & Windshield Covers,0.0
Supplements,0.0
Surge Protectors & Power,0.0
Sweaters,0.0
Sweaters & Cardigans,0.0
Sweatshirts,0.0
Swedish Massage,389.574
Sweets & Baskets,0.0
Swimming,56.0371
Swimwear,0.0
Swing Sets & Playsets,0.0
Systems,0.0
T-Shirts,0.0
T-Shirts & Tanks,0.0
TVs,0.0
Table Linens & Placemats,0.0
Tables,0.0
Tables & Sets,0.0
Tablets,0.0
Tailoring,0.0
Tank Tops,0.0
Tankinis,0.0
Tanks,0.0
Tanning Salons,154.3122
Tattoo,0.0
Tattoo Removal,128.9943
Tax,0.0
Taxi,0.0
Tea,0.0
Teeth Cleaning,22.8235
Teeth Whitening,245.35399999999998
Teeth Whitening Accessories,0.0
Temporary Hair Color,0.0
Tennis,0.0
Tennis & Racquet Sports,0.0
Tents & Shelters,0.0
Tents & Tunnels,0.0
Thai Massage,0.0
Thai Restaurants,0.0
Theater & Shows,17.12
Thermal Underwear,0.0
Thermals,0.0
Thermostats,0.0
Things To Do,0.0
Thongs & G-Strings,0.0
Throw Blankets,0.0
Tickets & Events,0.0
Tie Outs & Leads,0.0
Ties & Bow Ties,0.0
Tile Cleaning,0.0
Timers & Switches,0.0
Tires & Wheels,408.4719
Toaster Ovens,0.0
Toasters,0.0
Tobacco Accessories,2.2096
Toddler Feeding,0.0
Toilet Installation,0.0
Toiletry Bags,0.0
Toner,0.0
Tongue Scrapers,0.0
Toning,0.0
Tool Storage,0.0
Tools,0.0
Tools & Equipment,0.0
Tooth Polishers,0.0
Toothbrushes,0.0
Toothpaste,0.0
Tops,0.0
Tops & Bottoms,0.0
Tops & Costumes,0.0
Tops & T-Shirts,0.0
Tops & Tees,0.0
Totes,0.0
Tours & Air-Inclusive Packages,0.0
Towels,0.0
Toy Care & Storage,0.0
Toys,0.0
Track & Active Jackets,0.0
Train Cases,0.0
Training Aids,0.0
Training Equipment,0.0
Trampoline & Bounce Houses,1117.1113
Trampolines,0.0
Transportation,0.0
Traps,0.0
Trash & Recycling,0.0
Travel Pillows,0.0
Travel Pouches,0.0
Travel Systems,0.0
Treadmills,0.0
Treatments & Balms,0.0
Treatments & Serums,0.0
Trees,0.0
Tripods & Monopods,0.0
True Wireless,0.0
Tummy Tuck,0.0
Tunics,0.0
Tutoring,0.0
Tuxedos,0.0
Tweezers, Brow & Lash Tools,0.0
Umbrellas,0.0
Unboxed & Testers,0.0
Underarm Wax,0.0
Undershirts,0.0
Underwear,0.0
Underwear & Undershirts,0.0
Unisex,0.0
Unlocked,34.4442
Updos,0.0
Upholstery Cleaning,0.0
Upper Lip Wax,0.0
Vacuum Sealers,0.0
Vacuums,0.0
Vacuums & Floor Care,0.0
Value Sets,8.3187
Vanities & Benches,0.0
Vape Kits & Pens,0.0
Vaporizers & E-Cigs,0.0
Vegetarian Restaurants,0.0
Vests,0.0
Vibrators,16.7883
Video Game Accessories,0.0
Vision,17.118
Vitamins & Supplements,0.0
Vitamins A-Z,0.0
Volleyball,0.0
Volume & Texture,0.0
Waffle Irons,0.0
Wall Accents,0.0
Wallets,0.0
Wallets & Money Clips,0.0
Washers & Dryers,0.0
Waste Disposal,0.0
Watch Accessories,0.0
Water Based Lubricants,0.0
Water Bottles,0.0
Water Bottles & Hydration,0.0
Water Filtration,0.0
Water Flossers,0.0
Water Fountains,0.0
Water Heater Installation,0.0
Water Parks,1048.4963
Water Sports,86.56360000000001
Watering Equipment,0.0
Waterparks,0.0
Waterskiing, Wakeboarding & Towsports,0.0
Wax & Pomade,0.0
Wax Hair Removal,0.0
Wax, Wash & Polish,0.0
Waxing,88.3908
Weather Decor,0.0
Web & App Development,0.0
Webcams,0.0
Wedding Bands,0.0
Wedge,0.0
Weed & Moss Control,0.0
Weight Benches,0.0
Weight Loss,414.97839999999997
Weights,0.0
Wet Food,5.6016
White Wine,0.0
Window Cleaning,0.0
Window Treatments,0.0
Windshield & Windows,423.7066
Windshield Wipers,0.0
Wine,65.4737
Wine Bars,0.0
Wine Coolers,0.0
Wine Racks & Carts,0.0
Wine Tasting,139.4576
Winter Sports,0.0
Wired,0.0
Wireless & Unlined,0.0
Wireless Earbuds,0.0
Wireless Portable Speakers,0.0
Women's,0.0
Women's Activewear,0.0
Women's Athletic Shoes,0.0
Women's Deodorants & Antiperspirants,5.7596
Women's Shave,0.0
Wool & Blends,10.7356
Work & Safety,0.0
Work Lights,0.0
Wrap,0.0
Wraps & Braces,0.0
Wraps & Pashminas,0.0
Wrist, Arm & Shoulder Support,0.0
Wristlets,0.0
Writing,0.0
Yoga,81.0978
Yoga Mats,0.0
Zappers,0.0
Zip-Ups,0.0
Zoo,83.44800000000001
Zumba,0.0
iPod & MP3 Players,0.0
