text,value
Carpet Installation,0.0
Carriers & Strollers,0.0
Carry-Ons,0.0
Cart Accessories,0.0
Cases,0.0
Casinos,26.1854
Casual,0.0
Casual Shoes,0.0
Casual Sneakers,0.0
Casual Socks,0.0
Cat Houses & Perches,0.0
Cat Scratchers,0.0
Cat Trees & Condos,0.0
Catering,0.0
Ceiling Fans,0.0
Cell Phone Accessories,0.0
Cell Phones,0.0
Cell Phones & Accessories,0.0
Cellulite,0.0
Cellulite Treatment,88.7529
Chains,0.0
Chainsaws,0.0
Chairs,0.0
Chairs & Recliners,0.0
Changing Tables,0.0
Charcoal,0.0
Charm,0.0
Child Care,0.0
Children & Young Adult,0.0
Chimney Cleaning,8.8753
Chinese Restaurants,0.0
Chips, Snacks & Cookies,0.0
Chiropractor,241.873
Chocolate,0.0
Chocolate & Candy Gifts,0.0
Christmas,0.0
Chrome,0.0
Chronograph,0.0
Cigars,2.13
Circus,0.0
City & Landmark Tours,103.1319
Classes,0.0
Classic Massage,50.2845
Classical,0.0
Cleaners & Accessories,0.0
Cleaning,0.0
Cleaning Services,0.0
Cleaning Tools & Chemicals,0.0
Cleanse,0.0
Cleansing Tools,0.0
Clip-Ons,0.0
Clips & Bobby Pins,0.0
Clitoral Suction,21.6159
Closet Storage,0.0
Clothing,0.0
Clothing & Accessories,1.2222
Clothing Organizers,0.0
Clothing Sets,0.0
Clubs,0.0
Clubs & Dance,0.0
Clutches & Special Occasion,0.0
Coccyx & Lumbar Cushions,0.0
Cocktail,0.0
Coffee,2.8596
Coffee & End Tables,0.0
Coffee Grinders,0.0
Coffee Makers,0.0
Coins & Paper Money,0.0
Cold Weather,0.0
Collars,0.0
Collections,0.0
Collections & Sets,0.0
Cologne,35.194900000000004
Cologne Gift Sets,0.0
Colonic Hydrotherapy,89.3983
Comedy,47.6248
Comforter Sets,0.0
Compasses,0.0
Complete Sets,0.0
Components,0.0
Compression Sleeves & Socks,0.0
Computer,0.0
Computer Accessories,0.0
Computer Keyboards,0.0
Computer Mice,0.0
Computer Repair,0.0
Concealer,0.0
Concerts,0.0
Console Accessories,0.0
Console Tables,0.0
Consultants,76.959
Contact Lens Solution & Cases,0.0
Contact Lenses,0.0
Contractors,0.0
Controllers,0.0
Convention,0.0
Convertible,0.0
Cookie Gifts,0.0
Cookies,0.0
Cooking Classes,163.0628
Cookware,0.0
Corn & Callus Treatment,0.0
Corsets & Girdles,0.0
Cosmetic Procedures,26.6933
Costumes,0.0
Cots & Hammocks,0.0
Couples Massage,2499.2164
Couples Toys,0.0
Cover-Ups,0.0
Covers & Ladders,0.0
Craft Kits & Activities,0.0
Crate Mats,0.0
Crates & Playpens,0.0
Crib Toys,0.0
Cross-Body,0.0
Crossfit,0.0
Cruise,0.0
Cryotherapy,133.0713
Cuff,0.0
Cuffs & Restraints,0.0
Cuffs & Wraps,0.0
Curl Enhancing,0.0
Curling Irons & Stylers,0.0
Custom Embosser Stamps,0.0
Custom Gifts,127.2627
Custom Massage,57.2492
Cutlery,0.0
Cycling,0.0
Dance Classes,45.6693
Dash & Backup Cameras,0.0
Day Spas,529.7907
Deck Boxes,0.0
Deck Repair,0.0
Deep Tissue Massage,775.8416
Dehumidifiers,0.0
Dehydrators,0.0
Demi,0.0
Dental Floss,0.0
Dental Implants,0.0
Dental Mouth Guards,0.0
Dental Tools & Kits,0.0
Dentist,174.88479999999998
Dermatologist,0.0
Desk Accessories,0.0
Desktop Computers,0.0
Detox & Superfoods,0.0
Detox Patches,0.0
Diamond Accent Jewelry,0.0
Diaper Bags,0.0
Diaper Cleanup & Organization,0.0
Diapers,0.0
Diffusers,0.0
Digital Cameras,0.0
Digital Marketing,0.0
Digital SLRs,0.0
Dildos,0.0
Diners,10.010000000000002
Dinner & Entertainment,249.7595
Dinnerware,0.0
Displays,0.0
Distilleries,34.3538
Diver,0.0
Diving & Snorkeling,0.0
Dock Stands & Cooling Pads,0.0
Docking Stations,0.0
Dog Supplies,0.0
Dolls,0.0
Door Locks,0.0
Doormats, Flags & Wind Chimes,0.0
Down & Alternative Comforters,5.321
Down & Parkas,0.0
Down Alternative Pillows,0.0
Down Pillows,0.0
