trigram,tfidf
40 off offering,1.4117761843116586e-05
40 off on,0.0002815086654305107
40 off with,2.111670360148487e-05
40 or 60,5.2578189208127936e-05
40 to spend,1.1409148405730872e-05
40 toward food,1.003920916916968e-05
40 towards food,1.6987326230400897e-05
40 units for,1.0230367580023216e-05
40 units of,0.0002462503029066317
40 worth of,7.95784069781444e-05
40minute infrared sauna,1.0162004682935246e-05
41 off for,3.197211075672452e-05
41 off on,0.00010975370371624924
42 off for,4.4190597098386064e-05
42 off on,0.00029262606438259673
43 off for,3.189065924252468e-05
43 off on,0.00011873534923275042
44 off for,4.567085123524698e-05
44 off on,0.00010631670608166329
45 15 for,1.3869920252475347e-05
45 off at,1.85776229989395e-05
45 off for,7.97075993026761e-05
45 off on,0.00015311778557532983
45 off with,1.105945096500291e-05
45 or 60,1.0479212581524048e-05
45 or 60minute,1.2850661664440381e-05
45minute infrared sauna,1.7536972211384955e-05
45minute lymphatic drainage,1.0713825914383351e-05
45minute salt cave,2.1344166206528423e-05
46 off for,5.830661358392857e-05
46 off on,0.0003690113253586927
47 off for,3.0895862149146625e-05
47 off on,0.00011871242089535039
48 off for,7.110443920146684e-05
48 off on,0.0001281085882645676
49 off for,4.034555960124338e-05
49 off on,0.00012970952990121298
4ever customized facial,1.1941210969881003e-05
4ever young aventura,1.0288731523900186e-05
4ever young fort,1.504278965902022e-05
4ever young houston,1.196979193590486e-05
4wheel alignment tire,1.175715992310549e-05
50 100 or,1.4895585990508025e-05
50 discount for,1.3930327999891439e-05
50 egift card,7.744835214761873e-05
50 for 100,2.096087914216147e-05
50 gift card,3.177533330222451e-05
50 minute swedish,1.0907924363111754e-05
50 off and,2.27787876680245e-05
50 off at,6.635734120048453e-05
50 off choose,1.5896471202526513e-05
50 off enhancing,2.2229676127209586e-05
50 off ensuring,2.0719465291822764e-05
50 off featuring,2.1920313054498618e-05
50 off for,0.00041469497855038537
50 off in,2.381486102438594e-05
50 off including,3.920459431082933e-05
50 off offering,4.7051504614942795e-05
50 off on,0.0004811347122675862
50 off one,1.242857295635654e-05
50 off perfect,1.4601415535094868e-05
50 off tailored,1.0850588108732836e-05
50 off with,4.7659076721206345e-05
50 off your,1.0394321144420726e-05
50 or 100,0.00020908294301007284
50 or 80minute,1.0140969802972448e-05
50 to spend,1.3654397299294012e-05
50 toward food,1.206490289231538e-05
50 towards food,1.4621337882265088e-05
50 units of,0.00013515536104328094
50 value towards,1.0422880819080401e-05
50 voucher toward,1.2226876386881344e-05
50 worth of,2.9109737110539837e-05
50minute couples massage,1.1455456558317902e-05
50minute deep tissue,1.0196617783692072e-05
50minute deluxe body,1.8067793245444965e-05
50minute swedish massage,1.4752142099738843e-05
51 off at,1.0054638439343853e-05
51 off for,3.181512937789929e-05
51 off on,0.0002594532247894268
52 off for,4.008805072531672e-05
52 off on,0.0001265551245426138
53 off for,2.0447095069651772e-05
53 off on,0.00011866456355723263
54 off for,3.2652701738074616e-05
54 off on,0.00012504164974768916
55 off at,2.2175204155018286e-05
55 off for,5.3323136509378506e-05
55 off on,0.0007614308960261449
55 off with,1.0434772277731387e-05
56 off for,3.3242075707657704e-05
56 off on,0.0001500155062959973
57 off for,1.7763668412999895e-05
57 off on,0.00013960046516728314
58 off for,1.9994361621156365e-05
58 off on,0.00011577881880509286
59 off for,2.0042639756432836e-05
59 off on,0.00010740564464160399
60 90 or,2.812103873548888e-05
60 min deep,1.4718206173963629e-05
60 min facial,1.313220270717362e-05
60 min massage,1.8460425783237467e-05
60 minute body,1.0537023996780179e-05
60 minute couples,2.602635654966836e-05
60 minute custom,2.2323190044351932e-05
60 minute customized,1.3893414250183607e-05
60 minute deep,4.439348340722807e-05
60 minute deluxe,1.2045497982628868e-05
60 minute facial,4.580666930762752e-05
60 minute float,2.7195828987067742e-05
60 minute full,1.4173704510394065e-05
60 minute hot,1.2791358260752324e-05
60 minute life,1.2290689614090763e-05
60 minute lymphatic,1.6249728401251313e-05
60 minute massage,6.0467525347355586e-05
60 minute onlocation,1.178862503746556e-05
60 minute outdoor,2.4118066002852853e-05
60 minute prenatal,1.1882427786114e-05
60 minute reiki,1.6621627132400686e-05
60 minute session,1.1115037747764261e-05
60 minute signature,2.391704967642275e-05
60 minute swedish,5.8178011266048706e-05
60 minute teeth,1.2032033139195899e-05
60 minute therapeutic,2.0802773990933036e-05
60 minutes deep,1.064837397568482e-05
60 minutes of,1.7169157153506277e-05
60 minutes up,2.139099162300619e-05
60 minutes with,1.025950166552562e-05
60 off at,1.700880899364412e-05
60 off for,5.882139318920255e-05
60 off on,0.0003449770937594572
60 or 120,1.3543050047696831e-05
60 or 75minute,1.0523531993670732e-05
60 or 90,9.66604270379929e-05
60 or 90min,3.5039323587039096e-05
60 or 90minute,0.00020229306587942543
60 to spend,1.0909548088618724e-05
60 units of,0.00010166448132964317
60min deep tissue,1.2688556980831395e-05
60minute antiaging facial,5.4601299309638964e-05
60minute antiaging facials,2.2405046536643455e-05
60minute axe throwing,1.824557301778328e-05
60minute back facial,5.226596533056841e-05
60minute back facials,2.529737620824806e-05
60minute body massage,2.0333372363697442e-05
60minute choice of,1.7399058285482744e-05
60minute couples massage,7.201613860003042e-05
60minute custom facial,3.0954906308616624e-05
60minute custom massage,2.7513998968643974e-05
60minute customized facial,2.868971175032105e-05
60minute deep cleansing,4.267353802243028e-05
60minute deep tissue,9.5761504956638e-05
60minute deeptissue massage,3.9585946126438474e-05
60minute deeptissue or,1.4510488371490951e-05
60minute deluxe body,2.0699492167209425e-05
60minute diamond microdermabrasion,1.1225109401543355e-05
60minute european facial,1.4036413961960853e-05
60minute exfoliating facial,2.2609655774689972e-05
